mcrnum,rsrr,z2_rsrr,HRRCODE,HRRNAME
40067,0.31453651,0.001553474,19,"Little Rock,AR"
40071,0.32830575,0.16838782,19,"Little Rock,AR"
40072,0.29605648,-0.22235899,19,"Little Rock,AR"
40074,0.33172423,0.20980762,19,"Little Rock,AR"
40076,0.32620388,0.14292063,19,"Little Rock,AR"
40078,0.2860136,-0.34404302,19,"Little Rock,AR"
40080,0.32801834,0.16490538,19,"Little Rock,AR"
40084,0.3579143,0.52713841,19,"Little Rock,AR"
40088,0.24212119,-0.87586343,19,"Little Rock,AR"
40114,0.27702737,-0.45292431,19,"Little Rock,AR"
40119,0.32230476,0.095677033,19,"Little Rock,AR"
40134,0.32516649,0.13035116,19,"Little Rock,AR"
40137,0.29593322,-0.22385249,19,"Little Rock,AR"
40001,0.31409299,-0.003820394,21,"Springdale,AR"
40004,0.25885084,-0.67315936,21,"Springdale,AR"
40010,0.2460871,-0.82781059,21,"Springdale,AR"
40017,0.31989267,0.06645117,21,"Springdale,AR"
40022,0.34980696,0.42890626,21,"Springdale,AR"
40091,0.36276984,0.5859704,22,"Texarkana,AR"
370048,0.25397491,-0.73223829,22,"Texarkana,AR"
450200,0.31844071,0.048858456,22,"Texarkana,AR"
450615,0.369544,0.66804916,22,"Texarkana,AR"
450801,0.27516323,-0.47551104,22,"Texarkana,AR"
50069,0.27079859,-0.528395,23,"Orange County,CA"
50168,0.26045591,-0.65371168,23,"Orange County,CA"
50224,0.29104164,-0.28312102,23,"Orange County,CA"
50226,0.32254884,0.098634429,23,"Orange County,CA"
50230,0.32605368,0.14110069,23,"Orange County,CA"
50329,0.30212748,-0.14879999,23,"Orange County,CA"
50348,0.36019477,0.55476969,23,"Orange County,CA"
50426,0.33295095,0.22467116,23,"Orange County,CA"
50526,0.29188222,-0.27293625,23,"Orange County,CA"
50551,0.2923815,-0.26688677,23,"Orange County,CA"
50567,0.26745707,-0.56888241,23,"Orange County,CA"
50570,0.32049716,0.073775329,23,"Orange County,CA"
50580,0.35050482,0.43736175,23,"Orange County,CA"
50589,0.26673728,-0.5776037,23,"Orange County,CA"
50603,0.29596496,-0.22346792,23,"Orange County,CA"
50609,0.27602905,-0.46502039,23,"Orange County,CA"
50678,0.30226725,-0.14710642,23,"Orange County,CA"
50744,0.32985443,0.1871523,23,"Orange County,CA"
50745,0.2975834,-0.20385811,23,"Orange County,CA"
50746,0.30439162,-0.12136661,23,"Orange County,CA"
50747,0.31840876,0.048471358,23,"Orange County,CA"
50036,0.3586677,0.53626698,25,"Bakersfield,CA"
50057,0.30060107,-0.16729473,25,"Bakersfield,CA"
50257,0.33303735,0.22571798,25,"Bakersfield,CA"
50261,0.34071633,0.31876007,25,"Bakersfield,CA"
50295,0.32767981,0.16080368,25,"Bakersfield,CA"
50359,0.36582029,0.622931,25,"Bakersfield,CA"
50455,0.36690903,0.63612264,25,"Bakersfield,CA"
50608,0.31671742,0.027978297,25,"Bakersfield,CA"
50724,0.31997254,0.067418918,25,"Bakersfield,CA"
50030,0.30918303,-0.063311726,31,"Chico,CA"
50039,0.29278827,-0.26195812,31,"Chico,CA"
50042,0.24984054,-0.78233224,31,"Chico,CA"
50225,0.27673504,-0.45646635,31,"Chico,CA"
50072,0.27824602,-0.43815866,33,"Contra Costa County,CA"
50180,0.27161279,-0.51852977,33,"Contra Costa County,CA"
50276,0.29923016,-0.18390524,33,"Contra Costa County,CA"
50367,0.30078247,-0.16509672,33,"Contra Costa County,CA"
50496,0.27599874,-0.46538764,33,"Contra Costa County,CA"
50523,0.28455302,-0.36174011,33,"Contra Costa County,CA"
50689,0.30621791,-0.099238493,33,"Contra Costa County,CA"
50060,0.36683849,0.63526791,43,"Fresno,CA"
50093,0.27840456,-0.4362376,43,"Fresno,CA"
50121,0.34968603,0.42744094,43,"Fresno,CA"
50192,0.3046881,-0.1177744,43,"Fresno,CA"
50196,0.28900015,-0.30785662,43,"Fresno,CA"
50397,0.32622585,0.14318676,43,"Fresno,CA"
50492,0.31765398,0.039326176,43,"Fresno,CA"
50568,0.30935016,-0.061286684,43,"Fresno,CA"
50710,0.30070445,-0.16604207,43,"Fresno,CA"
50732,0.32874009,0.17365047,43,"Fresno,CA"
50018,0.37934658,0.78682166,56,"Los Angeles,CA"
50040,0.41524267,1.221755,56,"Los Angeles,CA"
50056,0.37046921,0.67925942,56,"Los Angeles,CA"
50058,0.35507652,0.49275461,56,"Los Angeles,CA"
50063,0.42214429,1.3053782,56,"Los Angeles,CA"
50078,0.28762314,-0.32454118,56,"Los Angeles,CA"
50091,0.29306835,-0.25856453,56,"Los Angeles,CA"
50103,0.35249639,0.46149254,56,"Los Angeles,CA"
50104,0.26565957,-0.5906617,56,"Los Angeles,CA"
50111,0.41239366,1.1872351,56,"Los Angeles,CA"
50112,0.35750613,0.52219284,56,"Los Angeles,CA"
50116,0.34149131,0.32815006,56,"Los Angeles,CA"
50124,0.35393217,0.47888917,56,"Los Angeles,CA"
50126,0.39011362,0.91728002,56,"Los Angeles,CA"
50132,0.3763614,0.75065184,56,"Los Angeles,CA"
50135,0.40153459,1.0556617,56,"Los Angeles,CA"
50137,0.35364163,0.47536883,56,"Los Angeles,CA"
50138,0.38339761,0.83590579,56,"Los Angeles,CA"
50139,0.28765288,-0.32418081,56,"Los Angeles,CA"
50149,0.32836792,0.16914107,56,"Los Angeles,CA"
50158,0.37270755,0.70638013,56,"Los Angeles,CA"
50169,0.28191873,-0.39365831,56,"Los Angeles,CA"
50191,0.30086315,-0.16411923,56,"Los Angeles,CA"
50204,0.39024848,0.91891402,56,"Los Angeles,CA"
50205,0.2627326,-0.62612629,56,"Los Angeles,CA"
50219,0.28107521,-0.40387884,56,"Los Angeles,CA"
50231,0.27718019,-0.4510726,56,"Los Angeles,CA"
50235,0.33392918,0.23652385,56,"Los Angeles,CA"
50238,0.31472269,0.003809256,56,"Los Angeles,CA"
50239,0.36178046,0.57398266,56,"Los Angeles,CA"
50262,0.33916864,0.30000749,56,"Los Angeles,CA"
50277,0.39844939,1.01828,56,"Los Angeles,CA"
50278,0.35058525,0.43833637,56,"Los Angeles,CA"
50281,0.33069101,0.19728869,56,"Los Angeles,CA"
50290,0.314426,0.00021452,56,"Los Angeles,CA"
50350,0.34450504,0.36466578,56,"Los Angeles,CA"
50351,0.31605056,0.019898359,56,"Los Angeles,CA"
50353,0.29408789,-0.24621135,56,"Los Angeles,CA"
50373,0.32844502,0.17007524,56,"Los Angeles,CA"
50376,0.34835893,0.41136122,56,"Los Angeles,CA"
50378,0.37628946,0.74978018,56,"Los Angeles,CA"
50382,0.27185792,-0.51555973,56,"Los Angeles,CA"
50393,0.30804312,-0.077123381,56,"Los Angeles,CA"
50411,0.30523106,-0.11119555,56,"Los Angeles,CA"
50438,0.30543756,-0.1086935,56,"Los Angeles,CA"
50468,0.29351068,-0.25320509,56,"Los Angeles,CA"
50471,0.34261787,0.34179994,56,"Los Angeles,CA"
50481,0.38559151,0.86248803,56,"Los Angeles,CA"
50485,0.2682949,-0.55873084,56,"Los Angeles,CA"
50502,0.29756051,-0.20413543,56,"Los Angeles,CA"
50531,0.36301005,0.58888084,56,"Los Angeles,CA"
50552,0.27608854,-0.46429965,56,"Los Angeles,CA"
50561,0.33618465,0.26385215,56,"Los Angeles,CA"
50575,0.3097401,-0.056562074,56,"Los Angeles,CA"
50581,0.29694077,-0.21164447,56,"Los Angeles,CA"
50588,0.26916894,-0.54814059,56,"Los Angeles,CA"
50597,0.28498951,-0.35645145,56,"Los Angeles,CA"
50624,0.31086379,-0.042946856,56,"Los Angeles,CA"
50625,0.34275904,0.34351045,56,"Los Angeles,CA"
50641,0.41395709,1.2061783,56,"Los Angeles,CA"
50644,0.3800613,0.7954815,56,"Los Angeles,CA"
50663,0.44388428,1.5687897,56,"Los Angeles,CA"
50677,0.32136467,0.084286548,56,"Los Angeles,CA"
50696,0.3525503,0.46214575,56,"Los Angeles,CA"
50704,0.44863641,1.6263688,56,"Los Angeles,CA"
50723,0.3161335,0.020903295,56,"Los Angeles,CA"
50727,0.32552326,0.13467386,56,"Los Angeles,CA"
50735,0.27384895,-0.49143547,56,"Los Angeles,CA"
50736,0.36540699,0.61792326,56,"Los Angeles,CA"
50737,0.33098495,0.20085022,56,"Los Angeles,CA"
50738,0.30728066,-0.086361721,56,"Los Angeles,CA"
50739,0.30431038,-0.12235096,56,"Los Angeles,CA"
50740,0.29169834,-0.27516422,56,"Los Angeles,CA"
50742,0.44748479,1.6124152,56,"Los Angeles,CA"
50752,0.36057413,0.55936611,56,"Los Angeles,CA"
50755,0.37598711,0.74611682,56,"Los Angeles,CA"
50758,0.3087123,-0.069015279,56,"Los Angeles,CA"
50761,0.35108685,0.44441402,56,"Los Angeles,CA"
50067,0.27347198,-0.496003,58,"Modesto,CA"
50179,0.33783764,0.28388047,58,"Modesto,CA"
50335,0.21210222,-1.2395868,58,"Modesto,CA"
50444,0.33350503,0.23138469,58,"Modesto,CA"
50464,0.31698602,0.031232879,58,"Modesto,CA"
50528,0.32428515,0.11967239,58,"Modesto,CA"
50557,0.33221731,0.215782,58,"Modesto,CA"
50009,0.3189801,0.055393975,62,"Napa,CA"
50013,0.31084189,-0.043212265,62,"Napa,CA"
50301,0.28324747,-0.37755874,62,"Napa,CA"
50002,0.36691272,0.63616741,65,"Alameda County,CA"
50043,0.31043544,-0.048136923,65,"Alameda County,CA"
50075,0.34547231,0.3763856,65,"Alameda County,CA"
50195,0.37073937,0.68253279,65,"Alameda County,CA"
50211,0.35280991,0.46529129,65,"Alameda County,CA"
50283,0.27768359,-0.44497329,65,"Alameda County,CA"
50305,0.28188163,-0.39410788,65,"Alameda County,CA"
50320,0.36401635,0.60107368,65,"Alameda County,CA"
50488,0.2954911,-0.22920938,65,"Alameda County,CA"
50512,0.28777933,-0.32264867,65,"Alameda County,CA"
50243,0.28910676,-0.30656499,69,"Palm Springs/Rancho Mira,CA"
50279,0.26356646,-0.61602277,69,"Palm Springs/Rancho Mira,CA"
50573,0.28459239,-0.3612631,69,"Palm Springs/Rancho Mira,CA"
50006,0.20687515,-1.3029205,73,"Redding,CA"
50028,0.27348855,-0.49580222,73,"Redding,CA"
50280,0.22871327,-1.0383198,73,"Redding,CA"
50764,0.259985,-0.65941739,73,"Redding,CA"
50014,0.24741691,-0.81169802,77,"Sacramento,CA"
50017,0.3037225,-0.12947398,77,"Sacramento,CA"
50108,0.26981843,-0.54027116,77,"Sacramento,CA"
50127,0.25675598,-0.6985417,77,"Sacramento,CA"
50133,0.31339672,-0.012256737,77,"Sacramento,CA"
50150,0.29135725,-0.27929699,77,"Sacramento,CA"
50254,0.31209797,-0.027993048,77,"Sacramento,CA"
50309,0.22580279,-1.0735846,77,"Sacramento,CA"
50336,0.35569939,0.5003016,77,"Sacramento,CA"
50352,0.26945829,-0.54463464,77,"Sacramento,CA"
50414,0.28260964,-0.38528696,77,"Sacramento,CA"
50425,0.31427753,-0.001584472,77,"Sacramento,CA"
50434,0.28670046,-0.33572078,77,"Sacramento,CA"
50498,0.24463204,-0.84544086,77,"Sacramento,CA"
50516,0.30409345,-0.1249794,77,"Sacramento,CA"
50537,0.28869089,-0.31160375,77,"Sacramento,CA"
50590,0.35218924,0.45777103,77,"Sacramento,CA"
50599,0.31634185,0.023427734,77,"Sacramento,CA"
50674,0.29695585,-0.21146175,77,"Sacramento,CA"
50145,0.28986719,-0.29735118,78,"Salinas,CA"
50248,0.33806738,0.28666419,78,"Salinas,CA"
50334,0.27869797,-0.43268257,78,"Salinas,CA"
50022,0.34005442,0.31074005,79,"San Bernardino,CA"
50054,0.30570841,-0.10541184,79,"San Bernardino,CA"
50089,0.26212919,-0.63343745,79,"San Bernardino,CA"
50099,0.21364908,-1.2208444,79,"San Bernardino,CA"
50102,0.37383276,0.72001374,79,"San Bernardino,CA"
50129,0.25943923,-0.66603017,79,"San Bernardino,CA"
50140,0.29230216,-0.26784801,79,"San Bernardino,CA"
50245,0.35710007,0.51727283,79,"San Bernardino,CA"
50272,0.2869668,-0.33249366,79,"San Bernardino,CA"
50292,0.31750527,0.037524298,79,"San Bernardino,CA"
50298,0.35624853,0.50695521,79,"San Bernardino,CA"
50300,0.31795222,0.042939689,79,"San Bernardino,CA"
50327,0.31385759,-0.006672711,79,"San Bernardino,CA"
50390,0.35575086,0.50092518,79,"San Bernardino,CA"
50448,0.32657021,0.14735925,79,"San Bernardino,CA"
50517,0.33977354,0.30733672,79,"San Bernardino,CA"
50586,0.25606966,-0.70685744,79,"San Bernardino,CA"
50684,0.3223899,0.096708693,79,"San Bernardino,CA"
50686,0.32513556,0.12997633,79,"San Bernardino,CA"
50709,0.30555671,-0.10724983,79,"San Bernardino,CA"
50765,0.3080689,-0.076811031,79,"San Bernardino,CA"
50024,0.30526063,-0.11083734,80,"San Diego,CA"
50025,0.33086577,0.19940618,80,"San Diego,CA"
50026,0.32776526,0.16183893,80,"San Diego,CA"
50045,0.26180744,-0.63733584,80,"San Diego,CA"
50077,0.32256791,0.098865539,80,"San Diego,CA"
50100,0.2992608,-0.18353404,80,"San Diego,CA"
50115,0.2645309,-0.60433722,80,"San Diego,CA"
50128,0.30751953,-0.083467521,80,"San Diego,CA"
50222,0.27979851,-0.41934794,80,"San Diego,CA"
50234,0.3500694,0.43208611,80,"San Diego,CA"
50324,0.29555112,-0.22848213,80,"San Diego,CA"
50342,0.29105538,-0.28295454,80,"San Diego,CA"
50424,0.27284786,-0.50356513,80,"San Diego,CA"
50435,0.3070668,-0.088952966,80,"San Diego,CA"
50503,0.26149836,-0.6410808,80,"San Diego,CA"
50515,0.29325613,-0.25628924,80,"San Diego,CA"
50534,0.30492774,-0.11487081,80,"San Diego,CA"
50636,0.29544914,-0.22971781,80,"San Diego,CA"
50757,0.29551193,-0.22895698,80,"San Diego,CA"
50047,0.27379709,-0.49206379,81,"San Francisco,CA"
50055,0.27918157,-0.42682305,81,"San Francisco,CA"
50073,0.28732178,-0.32819262,81,"San Francisco,CA"
50076,0.27746996,-0.44756165,81,"San Francisco,CA"
50079,0.37328857,0.71342009,81,"San Francisco,CA"
50101,0.27503476,-0.47706774,81,"San Francisco,CA"
50131,0.28163615,-0.39708224,81,"San Francisco,CA"
50152,0.3415809,0.32923552,81,"San Francisco,CA"
50228,0.29810071,-0.19759016,81,"San Francisco,CA"
50360,0.27899435,-0.42909145,81,"San Francisco,CA"
50407,0.27722719,-0.45050317,81,"San Francisco,CA"
50454,0.32140812,0.084813029,81,"San Francisco,CA"
50457,0.29935843,-0.18235108,81,"San Francisco,CA"
50510,0.30639336,-0.097112708,81,"San Francisco,CA"
50038,0.33049667,0.19493398,82,"San Jose,CA"
50071,0.31033847,-0.04931194,82,"San Jose,CA"
50125,0.34597266,0.38244808,82,"San Jose,CA"
50153,0.3158716,0.017729962,82,"San Jose,CA"
50296,0.32112384,0.081368513,82,"San Jose,CA"
50308,0.28733906,-0.32798317,82,"San Jose,CA"
50380,0.32060117,0.075035565,82,"San Jose,CA"
50604,0.27660349,-0.45806023,82,"San Jose,CA"
50688,0.30126208,-0.15928556,82,"San Jose,CA"
50016,0.2629123,-0.62394887,83,"San Luis Obispo,CA"
50232,0.28104311,-0.40426776,83,"San Luis Obispo,CA"
50506,0.28876871,-0.31066093,83,"San Luis Obispo,CA"
50633,0.2808769,-0.40628159,83,"San Luis Obispo,CA"
50007,0.22526154,-1.0801426,85,"San Mateo County,CA"
50113,0.29824516,-0.19583991,85,"San Mateo County,CA"
50197,0.24616066,-0.82691944,85,"San Mateo County,CA"
50289,0.32306778,0.10492224,85,"San Mateo County,CA"
50441,0.30376923,-0.12890778,85,"San Mateo County,CA"
50541,0.30908099,-0.064548127,85,"San Mateo County,CA"
50107,0.25800672,-0.6833871,86,"Santa Barbara,CA"
50110,0.30382732,-0.128204,86,"Santa Barbara,CA"
50396,0.25507975,-0.71885169,86,"Santa Barbara,CA"
50194,0.27619508,-0.46300873,87,"Santa Cruz,CA"
50242,0.23660716,-0.94267386,87,"Santa Cruz,CA"
50090,0.20472325,-1.3289938,89,"Santa Rosa,CA"
50136,0.27841276,-0.4361383,89,"Santa Rosa,CA"
50174,0.24115394,-0.88758308,89,"Santa Rosa,CA"
50291,0.26181549,-0.63723838,89,"Santa Rosa,CA"
50385,0.27571476,-0.46882856,89,"Santa Rosa,CA"
50690,0.32913098,0.17838664,89,"Santa Rosa,CA"
50084,0.30842388,-0.072509989,91,"Stockton,CA"
50118,0.36865392,0.65726459,91,"Stockton,CA"
50122,0.41416726,1.2087247,91,"Stockton,CA"
50167,0.30337012,-0.13374361,91,"Stockton,CA"
50313,0.31645668,0.024819046,91,"Stockton,CA"
50082,0.31082562,-0.043409422,96,"Ventura,CA"
50159,0.26144463,-0.64173186,96,"Ventura,CA"
50236,0.31634316,0.023443623,96,"Ventura,CA"
50394,0.28130338,-0.40111428,96,"Ventura,CA"
50549,0.30756336,-0.082936347,96,"Ventura,CA"
50616,0.29141796,-0.27856144,96,"Ventura,CA"
60003,0.261136,-0.64547139,101,"Boulder,CO"
60027,0.27329376,-0.49816239,101,"Boulder,CO"
60103,0.24618983,-0.82656592,101,"Boulder,CO"
60116,0.28179935,-0.39510489,101,"Boulder,CO"
60008,0.32566038,0.13633528,102,"Colorado Springs,CO"
60016,0.27909276,-0.42789912,102,"Colorado Springs,CO"
60022,0.27126324,-0.5227651,102,"Colorado Springs,CO"
60031,0.25386047,-0.73362494,102,"Colorado Springs,CO"
60036,0.28441626,-0.36339718,102,"Colorado Springs,CO"
60004,0.26485693,-0.6003868,103,"Denver,CO"
60009,0.23215874,-0.99657303,103,"Denver,CO"
60011,0.25931075,-0.66758686,103,"Denver,CO"
60014,0.27631751,-0.46152532,103,"Denver,CO"
60015,0.25768068,-0.68733752,103,"Denver,CO"
60024,0.29452309,-0.24093823,103,"Denver,CO"
60028,0.24440597,-0.84818,103,"Denver,CO"
60032,0.28070197,-0.40840125,103,"Denver,CO"
60034,0.28287309,-0.38209486,103,"Denver,CO"
60064,0.26772803,-0.56559932,103,"Denver,CO"
60065,0.28280532,-0.382916,103,"Denver,CO"
60100,0.26636091,-0.58216399,103,"Denver,CO"
60104,0.28565705,-0.34836322,103,"Denver,CO"
